Player,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Mike Peluso,L,L,23,0,0,0,-6,113,0,0,0,0,0,0,0,0,0,8,0,7:38,50
Jim Peplinski,R,L,711,161,263,424,52,"1,467",0.6,148,395,5,17,8,12,2,22,"1,269",12.7,--,--
Warren Peters,L,C,16,1,0,1,-2,12,0.06,1,1,0,0,0,0,0,0,13,7.7,7:05,58
Michel Petit,R,D,134,8,40,48,2,243,0.36,3,35,5,12,0,1,0,0,229,3.5,--,--
Ronald Petrovicky,R,R,107,9,12,21,0,139,0.2,7,17,2,4,0,0,0,2,108,8.3,11:39,45.7
Dion Phaneuf,L,D,378,75,153,228,19,522,0.6,26,97,48,129,1,2,2,21,"1,150",6.5,24:43,--
Joe Piskula,L,D,5,0,0,0,-5,2,0,0,0,0,0,0,0,0,0,2,0,10:54,--
Willi Plett,R,R,232,72,85,157,-21,758,0.68,59,124,13,33,0,0,0,8,430,16.7,--,--
Emile Poirier,L,L,8,0,1,1,0,2,0.13,0,1,0,0,0,0,0,0,5,0,9:28,0
Corey Potter,R,D,6,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,9:40,--
Sergei Priakin,L,L,46,3,8,11,-9,2,0.24,3,11,0,0,0,0,0,1,45,6.7,--,--
Wayne Primeau,L,C,94,6,15,21,-8,76,0.22,5,20,0,0,1,1,0,2,96,6.3,10:45,50.6
Jean Pronovost,R,R,80,24,19,43,12,12,0.54,18,34,6,7,0,2,0,3,119,20.2,--,--
Dalton Prout,R,D,20,1,1,2,1,8,0.1,1,2,0,0,0,0,0,0,14,7.1,13:07,--
Brandon Prust,L,L,78,2,5,7,3,202,0.09,2,7,0,0,0,0,0,2,39,5.1,6:25,43.2
Alan Quine,L,C,22,4,2,6,-1,10,0.27,3,5,1,1,0,0,0,0,23,17.4,9:37,41.2
Dan Quinn,L,C,222,72,119,191,-11,98,0.86,33,102,36,85,3,4,0,7,464,15.5,--,--
Yves Racine,L,D,46,1,15,16,4,24,0.35,0,6,1,10,0,0,0,0,82,1.2,--,--
John Ramage,R,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,4,0,18:10,--
Rob Ramage,R,D,80,4,19,23,42,193,0.29,1,15,3,7,0,1,0,0,103,3.9,--,--
Tim Ramholt,L,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,0:45,--
Paul Ranheim,R,L,354,94,100,194,49,105,0.55,75,162,7,13,12,19,1,12,757,12.4,--,--
Pekka Rautakallio,L,D,235,33,121,154,13,122,0.66,23,102,10,52,0,0,0,5,409,8.1,--,--
Mason Raymond,L,L,86,16,12,28,-11,16,0.33,16,27,0,1,0,0,0,1,176,9.1,13:59,30
Richie Regehr,L,D,20,1,3,4,-1,6,0.2,0,2,1,2,0,0,0,0,16,6.3,10:34,--
Robyn Regehr,L,D,826,29,134,163,30,802,0.2,17,110,11,44,1,9,0,3,900,3.2,21:23,42.9
